wlobscd,ymd,wl,fw,links
2004680,20071231,1.62,0.25,[]
2004680,20071230,1.62,0.00,[]
2004680,20071229,1.62,0.00,[]
2004680,20071228,1.59,0.00,[]
2004680,20071227,1.58,0.00,[]
2004680,20071226,1.58,0.00,[]
2004680,20071225,1.58,0.00,[]
2004680,20071224,1.58,0.00,[]
2004680,20071223,1.58,0.00,[]
2004680,20071222,1.58,0.00,[]
2004680,20071221,1.58,0.00,[]
2004680,20071220,1.47,0.00,[]
2004680,20071219,1.40,0.00,[]
2004680,20071218,1.40,0.00,[]
2004680,20071217,1.40,0.00,[]
2004680,20071216,1.41,0.00,[]
2004680,20071215,1.41,0.00,[]
2004680,20071214,1.43,0.00,[]
2004680,20071213,1.44,0.00,[]
2004680,20071212,1.42,0.00,[]
2004680,20071211,1.40,0.00,[]
2004680,20071210,1.39,0.00,[]
2004680,20071209,1.40,0.00,[]
2004680,20071208,1.40,0.00,[]
2004680,20071207,1.39,0.00,[]
2004680,20071206,1.41,0.00,[]
2004680,20071205,1.46,0.00,[]
2004680,20071204,1.46,0.00,[]
2004680,20071203,1.46,0.00,[]
2004680,20071202,1.46,0.00,[]
2004680,20071201,1.46,0.00,[]
2004680,20071130,1.47,0.00,[]
2004680,20071129,1.47,0.00,[]
2004680,20071128,1.47,0.00,[]
2004680,20071127,1.47,0.00,[]
2004680,20071126,1.47,0.00,[]
2004680,20071125,1.47,0.00,[]
2004680,20071124,1.48,0.00,[]
2004680,20071123,1.46,0.00,[]
2004680,20071122,1.46,0.00,[]
2004680,20071121,1.48,0.00,[]
2004680,20071120,1.49,0.00,[]
2004680,20071119,1.49,0.00,[]
2004680,20071118,1.50,0.00,[]
2004680,20071117,1.51,0.00,[]
2004680,20071116,1.52,0.00,[]
2004680,20071115,1.53,0.00,[]
2004680,20071114,1.59,0.00,[]
2004680,20071113,1.62,0.00,[]
2004680,20071112,1.63,0.00,[]
2004680,20071111,1.63,0.00,[]
2004680,20071110,1.64,0.00,[]
2004680,20071109,1.64,0.00,[]
2004680,20071108,1.64,0.00,[]
2004680,20071107,1.65,0.00,[]
2004680,20071106,1.64,0.00,[]
2004680,20071105,1.62,0.00,[]
2004680,20071104,1.62,0.00,[]
2004680,20071103,1.65,0.00,[]
2004680,20071102,1.65,0.00,[]
2004680,20071101,1.66,0.00,[]
2004680,20071031,1.67,0.00,[]
2004680,20071030,1.68,0.00,[]
2004680,20071029,1.69,0.00,[]
2004680,20071028,1.71,0.00,[]
2004680,20071027,1.73,0.00,[]
2004680,20071026,1.70,0.00,[]
2004680,20071025,1.67,0.00,[]
2004680,20071024,1.68,0.00,[]
2004680,20071023,1.69,0.00,[]
2004680,20071022,1.69,0.00,[]
2004680,20071021,1.71,0.00,[]
2004680,20071020,1.72,0.00,[]
2004680,20071019,1.74,0.00,[]
2004680,20071018,1.77,0.00,[]
2004680,20071017,1.77,0.00,[]
2004680,20071016,1.79,0.00,[]
2004680,20071015,1.79,0.00,[]
2004680,20071014,1.76,0.00,[]
2004680,20071013,1.76,0.00,[]
2004680,20071012,1.77,0.00,[]
2004680,20071011,1.79,0.00,[]
2004680,20071010,1.82,0.00,[]
2004680,20071009,1.84,0.00,[]
2004680,20071008,1.86,0.00,[]
2004680,20071007,1.91,0.00,[]
2004680,20071006,1.94,0.00,[]
2004680,20071005,1.96,0.00,[]
2004680,20071004,1.95,0.00,[]
2004680,20071003,1.97,0.00,[]
2004680,20071002,1.99,0.00,[]
2004680,20071001,2.01,0.00,[]
2004680,20070930,2.04,0.00,[]
2004680,20070929,2.09,0.00,[]
2004680,20070928,2.11,0.00,[]
2004680,20070927,2.14,0.00,[]
2004680,20070926,2.19,0.00,[]
2004680,20070925,2.24,0.00,[]
