rfobscd,ymd,rf,links
20044080,19971231,0.0,[]
20044080,19971230,0.0,[]
20044080,19971229,0.0,[]
20044080,19971228,0.0,[]
20044080,19971227,0.0,[]
20044080,19971226,0.0,[]
20044080,19971225,0.0,[]
20044080,19971224,0.0,[]
20044080,19971223,0.0,[]
20044080,19971222,0.0,[]
20044080,19971221,0.0,[]
20044080,19971220,0.0,[]
20044080,19971219,0.0,[]
20044080,19971218,0.0,[]
20044080,19971217,0.0,[]
20044080,19971216,0.0,[]
20044080,19971215,0.0,[]
20044080,19971214,0.0,[]
20044080,19971213,0.0,[]
20044080,19971212,0.0,[]
20044080,19971211,0.0,[]
20044080,19971210,0.0,[]
20044080,19971209,0.0,[]
20044080,19971208,15.0,[]
20044080,19971207,15.0,[]
20044080,19971206,15.0,[]
20044080,19971205,0.0,[]
20044080,19971204,0.0,[]
20044080,19971203,0.0,[]
20044080,19971202,0.0,[]
20044080,19971201,0.0,[]
20044080,19971130,0.0,[]
20044080,19971129,36.0,[]
20044080,19971128,3.0,[]
20044080,19971127,0.0,[]
20044080,19971126,49.0,[]
20044080,19971125,18.0,[]
20044080,19971124,8.0,[]
20044080,19971123,0.0,[]
20044080,19971122,0.0,[]
20044080,19971121,16.0,[]
20044080,19971120,0.0,[]
20044080,19971119,0.0,[]
20044080,19971118,0.0,[]
20044080,19971117,0.0,[]
20044080,19971116,0.0,[]
20044080,19971115,0.0,[]
20044080,19971114,2.0,[]
20044080,19971113,1.0,[]
20044080,19971112,29.0,[]
20044080,19971111,5.0,[]
20044080,19971110,0.0,[]
20044080,19971109,0.0,[]
20044080,19971108,0.0,[]
20044080,19971107,0.0,[]
20044080,19971106,0.0,[]
20044080,19971105,0.0,[]
20044080,19971104,0.0,[]
20044080,19971103,0.0,[]
20044080,19971102,0.0,[]
20044080,19971101,0.0,[]
20044080,19971031,0.0,[]
20044080,19971030,0.0,[]
20044080,19971029,0.0,[]
20044080,19971028,0.0,[]
20044080,19971027,0.0,[]
20044080,19971026,0.0,[]
20044080,19971025,0.0,[]
20044080,19971024,0.0,[]
20044080,19971023,0.0,[]
20044080,19971022,0.0,[]
20044080,19971021,0.0,[]
20044080,19971020,0.0,[]
20044080,19971019,0.0,[]
20044080,19971018,0.0,[]
20044080,19971017,0.0,[]
20044080,19971016,0.0,[]
20044080,19971015,0.0,[]
20044080,19971014,0.0,[]
20044080,19971013,10.0,[]
20044080,19971012,0.0,[]
20044080,19971011,0.0,[]
20044080,19971010,0.0,[]
20044080,19971009,0.0,[]
20044080,19971008,0.0,[]
20044080,19971007,0.0,[]
20044080,19971006,0.0,[]
20044080,19971005,0.0,[]
20044080,19971004,0.0,[]
20044080,19971003,0.0,[]
20044080,19971002,0.0,[]
20044080,19971001,0.0,[]
20044080,19970930,0.0,[]
20044080,19970929,0.0,[]
20044080,19970928,0.0,[]
20044080,19970927,0.0,[]
20044080,19970926,2.0,[]
20044080,19970925,13.0,[]
20044080,19970924,0.0,[]
20044080,19970923,0.0,[]
20044080,19970922,0.0,[]
20044080,19970921,0.0,[]
20044080,19970920,0.0,[]
20044080,19970919,0.0,[]
20044080,19970918,0.0,[]
20044080,19970917,0.0,[]
20044080,19970916,1.0,[]
20044080,19970915,18.0,[]
20044080,19970914,0.0,[]
20044080,19970913,0.0,[]
20044080,19970912,0.0,[]
20044080,19970911,0.0,[]
20044080,19970910,0.0,[]
20044080,19970909,0.0,[]
20044080,19970908,0.0,[]
20044080,19970907,0.0,[]
20044080,19970906,0.0,[]
20044080,19970905,0.0,[]
20044080,19970904,0.0,[]
20044080,19970903,0.0,[]
20044080,19970902,3.0,[]
20044080,19970901,1.0,[]
20044080,19970831,0.0,[]
20044080,19970830,0.0,[]
20044080,19970829,0.0,[]
20044080,19970828,0.0,[]
20044080,19970827,0.0,[]
20044080,19970826,0.0,[]
20044080,19970825,0.0,[]
20044080,19970824,0.0,[]
20044080,19970823,0.0,[]
20044080,19970822,0.0,[]
20044080,19970821,1.0,[]
20044080,19970820,0.0,[]
20044080,19970819,0.0,[]
20044080,19970818,5.0,[]
20044080,19970817,0.0,[]
20044080,19970816,0.0,[]
20044080,19970815,0.0,[]
20044080,19970814,0.0,[]
20044080,19970813,0.0,[]
20044080,19970812,2.0,[]
20044080,19970811,3.0,[]
20044080,19970810,13.0,[]
20044080,19970809,8.0,[]
20044080,19970808,2.0,[]
20044080,19970807,2.0,[]
20044080,19970806,0.0,[]
20044080,19970805,0.0,[]
20044080,19970804,41.0,[]
20044080,19970803,38.0,[]
20044080,19970802,0.0,[]
20044080,19970801,0.0,[]
20044080,19970731,0.0,[]
20044080,19970730,0.0,[]
20044080,19970729,0.0,[]
20044080,19970728,0.0,[]
20044080,19970727,0.0,[]
20044080,19970726,0.0,[]
20044080,19970725,0.0,[]
20044080,19970724,2.0,[]
20044080,19970723,0.0,[]
20044080,19970722,0.0,[]
20044080,19970721,0.0,[]
20044080,19970720,0.0,[]
20044080,19970719,0.0,[]
20044080,19970718,0.0,[]
20044080,19970717,0.0,[]
20044080,19970716,0.0,[]
20044080,19970715,37.0,[]
20044080,19970714,6.0,[]
20044080,19970713,0.0,[]
20044080,19970712,7.0,[]
20044080,19970711,28.0,[]
20044080,19970710,0.0,[]
20044080,19970709,0.0,[]
20044080,19970708,0.0,[]
20044080,19970707,1.0,[]
20044080,19970706,33.0,[]
20044080,19970705,83.0,[]
20044080,19970704,10.0,[]
20044080,19970703,0.0,[]
20044080,19970702,0.0,[]
20044080,19970701,64.0,[]
20044080,19970630,13.0,[]
20044080,19970629,0.0,[]
20044080,19970628,0.0,[]
20044080,19970627,0.0,[]
20044080,19970626,15.0,[]
20044080,19970625,68.0,[]
20044080,19970624,21.0,[]
20044080,19970623,0.0,[]
20044080,19970622,0.0,[]
20044080,19970621,0.0,[]
20044080,19970620,0.0,[]
20044080,19970619,0.0,[]
20044080,19970618,0.0,[]
20044080,19970617,0.0,[]
20044080,19970616,0.0,[]
20044080,19970615,0.0,[]
20044080,19970614,0.0,[]
20044080,19970613,0.0,[]
20044080,19970612,0.0,[]
20044080,19970611,0.0,[]
20044080,19970610,0.0,[]
20044080,19970609,0.0,[]
20044080,19970608,3.0,[]
20044080,19970607,0.0,[]
20044080,19970606,0.0,[]
20044080,19970605,17.0,[]
20044080,19970604,0.0,[]
20044080,19970603,0.0,[]
20044080,19970602,0.0,[]
20044080,19970601,14.0,[]
20044080,19970531,0.0,[]
20044080,19970530,10.0,[]
20044080,19970529,0.0,[]
20044080,19970528,0.0,[]
20044080,19970527,0.0,[]
20044080,19970526,0.0,[]
20044080,19970525,0.0,[]
20044080,19970524,15.0,[]
20044080,19970523,0.0,[]
